id,internal_id,test_id,user_id,startedTime,updateTime,finished,state
232,1091,52,66,"2024-10-11 18:02:22","2024-10-18 15:54:47",0,
233,1029,52,63,"2024-10-11 18:08:00","2024-10-11 18:08:00",0,
234,1093,52,10,"2024-10-11 18:16:17","2024-10-18 18:06:03",0,
235,1037,52,17,"2024-10-11 19:03:01","2024-10-11 19:03:01",0,
236,1097,52,40,"2024-10-12 07:07:24","2024-10-19 11:09:25",0,
237,1098,52,25,"2024-10-12 07:42:22","2024-10-19 14:13:01",0,
239,1084,52,16,"2024-10-14 11:21:11","2024-10-17 13:30:31",0,
241,1085,52,68,"2024-10-14 11:39:05","2024-10-17 13:32:02",0,
242,1078,52,41,"2024-10-15 12:07:24","2024-10-15 12:07:24",0,
243,1090,52,71,"2024-10-17 15:40:31","2024-10-18 12:36:18",0,
244,1094,52,45,"2024-10-18 20:47:48","2024-10-18 21:07:44",1,
245,1095,52,14,"2024-10-19 08:58:07","2024-10-19 09:13:09",1,
246,1096,52,14,"2024-10-19 09:13:22","2024-10-19 09:13:22",0,
